names,ages,minutes
Luis Abram,25,560
Marcos Acuña,29,"2,260"
Martin Agirregabiria,25,"1,616"
Julen Agirrezabala,20,360
Sergio Agüero,33,151
Álvaro Aguirre,21,9
Joseph Aidoo,25,"2,637"
Carlos Akapo,28,"1,844"
Ilias Akhomach,17,124
Paul Akouokou,23,516
David Alaba,29,"2,642"
Tomás Alarcón,22,"1,425"
Jordi Alba,32,"2,644"
Raúl Albiol,35,"2,465"
Paco Alcácer,27,787
Rubén Alcaraz,30,"1,105"
Omar Alderete,24,"2,403"
Iván Alejo,26,"1,065"
Carles Aleñá,23,"2,320"
Hugo Álvarez,18,11
Yeray Álvarez,26,"1,860"
Dani Alves,38,"1,098"
Emmanuel Amankwaa,19,79
Amath,25,884
Florin Andone,28,176
Marcos André,24,973
José Ángel,31,"1,083"
Josep Antoni,21,58
Mauro Arambarri,25,"2,663"
Néstor Araujo,29,"2,617"
Ronald Araújo,22,"2,272"
Jesús Areso,22,188
Matias Arezo,18,162
Santiago Arias,29,440
Santiago Arzamendia,23,469
Sergio Asenjo,32,540
Alejandro Asensio,20,12
Marco Asensio,25,"1,731"
Iago Aspas,33,"3,087"
Pierre-Emerick Aubameyang,32,"1,082"
Ludwig Augustinsson,27,793
Serge Aurier,28,"1,010"
Ezequiel Ávila,27,"1,870"
Iddrisu Baba,25,"1,934"
Carlos Bacca,34,513
Édgar Badía,29,"2,160"
Miguel Baeza,21,2
Alejandro Balde,17,188
Gareth Bale,32,280
Mikel Balenziaga,33,"2,027"
Iván Balliu,29,"3,147"
Barbero,22,21
Barcia,20,75
Enis Bardhi,26,"1,701"
Keidi Bare,23,"1,481"
Kike Barja,24,865
Antonio Barragán,34,"1,020"
Ander Barrenetxea,19,547
Marc Bartra,30,"1,993"
Álvaro Bastida,17,197
Rodrigo Battaglia,30,"1,179"
Jon Bautista,26,45
Bebé,31,867
Héctor Bellerín,26,"1,979"
Fran Beltrán,22,"2,597"
Darío Benedetto,31,590
Iker Benito,18,118
Pedro Benito,21,31
Karim Benzema,33,"2,593"
Yuri Berchiche,31,"1,015"
Álex Berenguer,26,"2,168"
Pedro Bigas,30,"1,551"
Antonio Blanco,21,31
Yassine Bounou,30,"2,790"
Lucas Boyé,25,"1,713"
Martin Braithwaite,30,235
Darko Brašanac,29,"2,405"
Claudio Bravo,38,"1,456"
Yan Brice,23,343
Ante Budimir,30,"1,738"
Sergio Busquets,33,"3,198"
Adrián Butzke,22,1
Erick Cabaco,26,403
Leandro Cabrera,30,"3,330"
Martín Cáceres,34,663
Cala,31,947
Calderón,21,65
Fernando Calero,25,"1,090"
Víctor Camarasa,27,108
